NPS Classification;Country;Region;Reason 1;Reason 2;Reason 3;NPS;Comment
Promoter;BR;SP;Oferece uma rota segura de acordo com a prevista;Tem regras justas;? fácil receber meus ganhos na minha conta;10;Gostaria q vcs n?o mandasse a gente buscar passageiros muito, muitas vezes até 5 ou 6 km de dist?ncia , uma vez me mandaram uma corrida q pra chegar ao passageiro eram 8 km
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;Oferece uma rota segura de acordo com a prevista;? fácil receber meus ganhos na minha conta;10;Gostaria apenas de pedir melhores ganhos, um pequeno aumento na tarifa de KM rodado seria importante, ou melhores promo??es com valores e metas atraentes.
Promoter;BR;SP;Oferece ganhos bons e estáveis;Raramente aparecem corridas de/para áreas de risco;? fácil receber meus ganhos na minha conta;10;eu gostaria de saber pó que o tempo de esperar para cansar a corrida e t?o demorando n?o pode ser mais rápido que a gente pode muito tempo eu já fiquei até mais de vinte minutos esperando e n?o apareceu o passageiro e n?o caselo e minha nota foi rebaixada
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Mostra as posi??es de embarque e desembarque corretamente;Os passageiros s?o educados e têm uma rota de viagem segura;10;
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;O aplicativo atende todas as minhas necessidades de trabalho;Oferece uma visualiza??o clara e correta dos meus ganhos;10;Somente a quest?o de pssageiros que n?o est?o no local de embarque e somos obrigados esperar por 5 minutos para cancelar sem ter algum tipo de puni??o, as vezes ? podemos parar o carro quem dirá esperar, fora o risco que o motorista corre de ficar parado as vezes em horários tarde da noite e área de risco.\nEspero que vcs do suporte melhore esse assunto para nós motoristas.
Promoter;BR;SP;Todos falam sobre a 99 de forma positiva;;;10;Nota 10 para o app
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Oferece informa??es suficientes do passageiro;O aplicativo atende todas as minhas necessidades de trabalho;10;
Promoter;BR;SP;O aplicativo é profissional;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Oferece uma rota segura de acordo com a prevista;10;
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;;;10;
Promoter;BR;SP;Oferece ganhos bons e estáveis;O aplicativo é fácil de ser utilizado;? fácil receber meus ganhos na minha conta;10;Bom pra ficar melhor deveria cobrar uma taxa do passageiro quando o motorista leva mais de 2,5km pra chegar até ele\nDar a op??o de ele aceitar ou n?o \n
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;Mostra as posi??es de embarque e desembarque corretamente;;10;
Promoter;BR;SP;O aplicativo é profissional;;;10;Só tem que ser mais claro na faixa de cancelamento\n
Promoter;BR;SP;Oferece ganhos bons e estáveis;Oferece boas funcionalidades de seguran?a;Os passageiros s?o educados e têm uma rota de viagem segura;10;
Promoter;BR;SP;Oferece um atendimento ao consumidor fácil de entrar em contato;;;10;
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;O aplicativo é profissional;O aplicativo é fácil de ser utilizado;10;Bom gostaria que a nota menos de 5 Estela fosse justificada e que eu tivesse o direto de resposta
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Todos falam sobre a 99 de forma positiva;? fácil receber meus ganhos na minha conta;9;
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;10;
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;Mostra as posi??es de embarque e desembarque corretamente;Oferece um atendimento ao consumidor fácil de entrar em contato;10;
Promoter;BR;SP;O aplicativo é profissional;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;O aplicativo é fácil de ser utilizado;10;
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;O aplicativo atende todas as minhas necessidades de trabalho;Oferece informa??es suficientes do passageiro;9;
Promoter;BR;SP;Oferece ganhos bons e estáveis;Oferece uma rota segura de acordo com a prevista;O aplicativo atende todas as minhas necessidades de trabalho;10;Obrigado por eu estar fazendo parte desse time da 99pop
Promoter;BR;SP;Oferece um atendimento ao consumidor fácil de entrar em contato;Oferece ganhos bons e estáveis;Oferece boas parcerias para o motorista;9;
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;? seguro trabalhar com a 99;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;10;
Promoter;BR;SP;Oferece boas parcerias para o motorista;Oferece boas funcionalidades de seguran?a;O aplicativo atende todas as minhas necessidades de trabalho;10;Boa tarde ! So agrade?o a deus por fazer parte dessa empresa...muito grato..abra?o
Promoter;BR;SP;? seguro trabalhar com a 99;Oferece ganhos bons e estáveis;O aplicativo é profissional;10;Eu trabalho com a 99 e recomendo outros motoristas
Promoter;BR;SP;Oferece boas parcerias para o motorista;Oferece ganhos bons e estáveis;O aplicativo atende todas as minhas necessidades de trabalho;10;
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;O aplicativo é fácil de ser utilizado;Tem regras justas;9;
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;Mostra as posi??es de embarque e desembarque corretamente;Oferece boas parcerias para o motorista;10;Obrigado
Promoter;BR;SP;Oferece boas parcerias para o motorista;Mostra as posi??es de embarque e desembarque corretamente;O aplicativo é profissional;10;
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece ganhos bons e estáveis;9;Seria legal se n?o houvesse bloqueio por n?o aceitar corridas em área de risco
Promoter;BR;SP;O aplicativo é profissional;Oferece ganhos bons e estáveis;Mostra as posi??es de embarque e desembarque corretamente;10;
Promoter;BR;SP;Oferece ganhos bons e estáveis;Oferece um atendimento ao consumidor fácil de entrar em contato;Oferece uma visualiza??o clara e correta dos meus ganhos;10;O app precisa esperar finalizar uma corrida em andamento para entrar outra...\nEvitando assim o constrangimento do motorista na hora de cobrar....\nE também trazendo mais credibilidade ao motorista e ao app 99pop.
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;O aplicativo atende todas as minhas necessidades de trabalho;Todos falam sobre a 99 de forma positiva;10;
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;;;10;
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;? fácil receber meus ganhos na minha conta;Oferece uma visualiza??o clara e correta dos meus ganhos;10;
Promoter;BR;SP;Oferece boas parcerias para o motorista;? fácil receber meus ganhos na minha conta;Todos falam sobre a 99 de forma positiva;10;
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Mostra as posi??es de embarque e desembarque corretamente;9;Boa tarde !!!\nO minimo que uma corrida deveria custar e 10.00 dez reais\nObs tenho que carregar carrinho com compras de supermercados e outros por 6.00 seis reais n?o acho justo aonda entrar em favelas e ruas esburacadas
Promoter;BR;SP;Oferece boas parcerias para o motorista;Oferece boas funcionalidades de seguran?a;;10;Quando o cliente deixa de pagar no carro por algum motivo(imprevisto) deveria ter uma forma prática de ser lan?ada para próxima corrida
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;O aplicativo atende todas as minhas necessidades de trabalho;? seguro trabalhar com a 99;10;Só as vezes parecem chamadas muito longe para buscar
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;Oferece uma rota segura de acordo com a prevista;Tem regras justas;10;
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;O aplicativo é profissional;O aplicativo é fácil de ser utilizado;10;Parabéns 99
Promoter;BR;SP;Oferece uma rota segura de acordo com a prevista;Os passageiros s?o educados e têm uma rota de viagem segura;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;10;
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Raramente aparecem corridas de/para áreas de risco;Mostra as posi??es de embarque e desembarque corretamente;10;
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Oferece boas parcerias para o motorista;Raramente aparecem corridas de/para áreas de risco;9;As vezes valores das corridas muito baixos e tbm as vezes estamos no din?mico e a corrida e pega normalmente
Promoter;BR;SP;Todos falam sobre a 99 de forma positiva;Oferece boas funcionalidades de seguran?a;O aplicativo é profissional;10;
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Oferece ganhos bons e estáveis;? fácil receber meus ganhos na minha conta;10;
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;O aplicativo é profissional;Todos falam sobre a 99 de forma positiva;10;Poderia quando o passageiro n?o tiver o valor em m?os jogar o valor para a próxima corrida igual a Uber pois o motorista toma muito prejuízo quanto a isso passageiro quer pagar o valor que quer e n?o tem como Ag fazer nada
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Oferece ganhos bons e estáveis;Oferece informa??es suficientes do passageiro;10;
Promoter;BR;SP;Oferece boas funcionalidades de seguran?a;Tem regras justas;Oferece boas parcerias para o motorista;10;
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;;;10;Entrei em contato para saber sobre um pagamento de incentivo e n?o souberam me responder
Promoter;BR;SP;Oferece ganhos bons e estáveis;;;9;
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Oferece ganhos bons e estáveis;? seguro trabalhar com a 99;9;
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;O aplicativo é profissional;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;10;
Promoter;BR;SP;Oferece ganhos bons e estáveis;Oferece uma rota segura de acordo com a prevista;Oferece uma visualiza??o clara e correta dos meus ganhos;9;Só n?o gosto do fato de n?o cobrar taxa de cancelamento. Muitas corridas o passageiro n?o aparece e fico no prejuízo
Promoter;BR;SP;O aplicativo é profissional;;;10;Muito bom
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;O aplicativo é fácil de ser utilizado;;10;
Promoter;BR;SP;Oferece um atendimento ao consumidor fácil de entrar em contato;Raramente aparecem corridas de/para áreas de risco;Mostra as posi??es de embarque e desembarque corretamente;10;Pra mim está tudo certo só concelhos a manter novas tecnologia sempre mantendo isso\n
Promoter;BR;SP;Tem regras justas;O aplicativo é profissional;? fácil receber meus ganhos na minha conta;10;Quanto as áreas de risco, podemos aceitar ou até recusar sem prejuízo ao motorista.
Promoter;BR;SP;Oferece um atendimento ao consumidor fácil de entrar em contato;O aplicativo é fácil de ser utilizado;Oferece ganhos bons e estáveis;10;i love 99
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;Raramente aparecem corridas de/para áreas de risco;Oferece boas funcionalidades de seguran?a;10;O sistema de avalia??o  dos passageiros  à motorista tem que melhorar.
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;Oferece boas parcerias para o motorista;Tem regras justas;10;Gostaria que melhorase o jps waze
