NPS Classification;Country;Region;Reason 1;Reason 2;Reason 3;NPS;Comment
Promoter;BR;SP;Oferece um atendimento ao consumidor fácil de entrar em contato;? seguro trabalhar com a 99;? fácil receber meus ganhos na minha conta;10;A 99 é a melhor msm pena q n?o tem uma base da 99 no ABC
Promoter;BR;SP;O aplicativo é profissional;Oferece uma rota segura de acordo com a prevista;Raramente aparecem corridas de/para áreas de risco;10;O aplicativo está quase perfeito, alguns passageiros ainda n?o tem nota definida, mas pelo menos podemos saber se é iniciante ou n?o. Seria bacana se nós informasse se est?o levando crian?a sem cadeirinha, existem lugares que d?o multa....., mas do resto é bacana o aplicativo muito bom
Promoter;BR;SP;Oferece uma visualiza??o clara e correta dos meus ganhos;? fácil receber meus ganhos na minha conta;Oferece um atendimento ao consumidor fácil de entrar em contato;10;Corro com a 99 desde o início do pop.\nMuitas coisas melhoraram. Dentre elas o atendimento, porém estive hoje na 99 e fui obrigado a discutir, algo q eu n gostaria , por conta da falta de preparo da Carol, que perdeu a paciência.... N?o gostei, me tratou como se fosse mais um... Afinal somos muitos motoristas e um a mais ou a menos n?o faz falta, essa a impress?o que ela me passou....
Promoter;BR;SP;Oferece boas funcionalidades de seguran?a;O aplicativo atende todas as minhas necessidades de trabalho;Oferece um atendimento ao consumidor fácil de entrar em contato;10;Muito bom
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;;;10;Mais promo??es na semana, exemplo fa?a 45 corridas de segunda a quinta feira e ganhe 70 reais a mais
Promoter;BR;SP;Todos falam sobre a 99 de forma positiva;Mostra as posi??es de embarque e desembarque corretamente;O aplicativo atende todas as minhas necessidades de trabalho;10;?timo
Promoter;BR;SP;Os passageiros s?o educados e têm uma rota de viagem segura;O aplicativo atende todas as minhas necessidades de trabalho;O aplicativo é profissional;10;Nao se deixem levar pela concorrencia ( Uber )......eles sao amadores em se tratando de atendimento( essa é minha opini?o ) e passageiro ou parceiro , sao lixo para eles.
Promoter;BR;SP;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;O aplicativo é fácil de ser utilizado;9;O valor da empressa teria que ser um pouco melhor a taxa de cancelamento teria que ser o valor da corrida quem sabe assim os passageiros ao chamar n?o deixa o motorista parado tanto tempo as vezes em locais proibidos e inseguros .
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Mostra as posi??es de embarque e desembarque corretamente;Raramente aparecem corridas de/para áreas de risco;10;Aplicativo está apresentando problemas na funcionalidade , trava e apaga a rota as vezes
Promoter;BR;SP;Oferece uma visualiza??o clara e correta dos meus ganhos;O aplicativo é fácil de ser utilizado;Raramente aparecem corridas de/para áreas de risco;10;Só acho que vocês tem que continuar com o trabalho e sempre se esfor?arem para oferecer o máximo de seguran?a para nós motoristas consequentemente para os passageiros também
Promoter;BR;SP;Oferece ganhos bons e estáveis;? fácil receber meus ganhos na minha conta;;10;A informa??o de destino da corrida deveria ser mais eficaz pois quando estamos dirigindo para aceitar uma corrida e verificar no mapa local do bairro é muito perigoso pode ocasionar acidente
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Oferece uma visualiza??o clara e correta dos meus ganhos;;9;Prático
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;;;10;N?o cobra uma taxa absurda dos motorista
Promoter;BR;SP;Oferece boas funcionalidades de seguran?a;? fácil receber meus ganhos na minha conta;O aplicativo é profissional;10;Muito obrigado por me ajudar \nGra?as a 99 estou levando o sustento \n      Da minha família para casa \nValeu um abra?o
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;O aplicativo é profissional;Oferece boas funcionalidades de seguran?a;10;Se tiver mais informa??es fica melhor.
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;;;9;Acho um absurdo o motorista ter que esperar o passageiro vcs deveriam mandar mensagem pra qdo pedirem um carro estarem prontas pra embarcar e n?o  no elevador ou fechando sei lá o que. Uma falta de considera??o com o motorista e ainda por cima o motorista fica esperando e correndo perigo COMECEM A MANDAR MENSAGEM PRA ELES NAO FAZEREM ISSO COM O MOTORISTA
Promoter;BR;SP;Tem regras justas;? seguro trabalhar com a 99;O aplicativo atende todas as minhas necessidades de trabalho;10;Muito bom ser um parceiro 99
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;? fácil receber meus ganhos na minha conta;Oferece uma visualiza??o clara e correta dos meus ganhos;10;Aplicativo bom
Promoter;BR;SP;O aplicativo é profissional;? seguro trabalhar com a 99;O aplicativo é fácil de ser utilizado;10;A única coisa que tenho a perdir que melhore é as condi??es que os passageiros deixa o veículo , alguns deixa tudo sujo outros batem a porta com muita for?a , algumas vezes quando tem crian?a a m?e deixa a crian?a fazer o que quer , por exemplo ... Coloca os pés no banco , fica mexendo o bot?o de controle dos vidros e n?o fala nada . E alguns passageiros pede o carro e fica dentro de casa aí temos que ficar esperando alguns minutos na rua , o certo é a pessoa pedir e já ficar a postos . Obrigado
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Oferece informa??es suficientes do passageiro;10;A 99 e nota 100
Promoter;BR;SP;Oferece boas parcerias para o motorista;;;9;?
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;? fácil receber meus ganhos na minha conta;10;n?o
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Mostra as posi??es de embarque e desembarque corretamente;Oferece uma visualiza??o clara e correta dos meus ganhos;10;Muito bom trabalhar na 99
Promoter;BR;SP;Oferece boas parcerias para o motorista;;;10;Td ok
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;Oferece ganhos bons e estáveis;O aplicativo é fácil de ser utilizado;10;Muito bom a 99 para mim está sendo uns dos melhor App que eu estou trabalhando continuei assim
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Oferece boas funcionalidades de seguran?a;9;Se possível adaptar o proprio gps da 99 como um waze ou maps pois e um pouco complicado entederele as veses no termo de visualiza??o
Promoter;BR;SP;O aplicativo é profissional;Oferece informa??es suficientes do passageiro;Oferece boas funcionalidades de seguran?a;10;Agrade?o a 99, pois no momento de desemprego tem me ajudado muito, também com um suporte que a concorrente n?o tem. Parabéns Sucesso para todos nós.
Promoter;BR;SP;? fácil receber meus ganhos na minha conta;O aplicativo é fácil de ser utilizado;? seguro trabalhar com a 99;10;Muito bom a parceria!
Promoter;BR;SP;Oferece uma visualiza??o clara e correta dos meus ganhos;;;10;Sim estou na espera do meu cart?o para receba meus ganhos mas acho que tá demorando se pode me ajuda agrade?o
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;Oferece uma visualiza??o clara e correta dos meus ganhos;? seguro trabalhar com a 99;10;Gostaria de trabalhar no meu dia do rodízio
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Oferece um atendimento ao consumidor fácil de entrar em contato;? seguro trabalhar com a 99;10;N obrigado.
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Todos falam sobre a 99 de forma positiva;Oferece uma rota segura de acordo com a prevista;9;?timo
Promoter;BR;SP;O aplicativo é fácil de ser utilizado;Raramente aparecem corridas de/para áreas de risco;? fácil receber meus ganhos na minha conta;9;Precisa melhorar os ganhos do motorista, e ter mas critérios para prova??o de novos usuários.
Promoter;BR;SP;Oferece ganhos bons e estáveis;Tem regras justas;? fácil receber meus ganhos na minha conta;10;Mas últimas semanas confesso que fiquei decepcionado com a 99 pois atingi nota máxima de avalia??o e n ganhei nem um parabens. De toda forma gosto muito de trabalhar com a 99 e com certeza recomendaria o mesmo.
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;O aplicativo é fácil de ser utilizado;Todos falam sobre a 99 de forma positiva;10;A 99 é  excelente \n
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;;;10;Poderia cobrar mais do usuário porque muitas corrida até  o embarque passageiro demora mais de 5 minutos de espera ou n?o  aparece
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;;;10;N?o
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece boas funcionalidades de seguran?a;9;Gostaria que n?o afetasse a taxa de aceita??o, quando recusarmos corridas com mais de 2,5 km para buscar o passageiro
Promoter;BR;SP;O aplicativo é profissional;O aplicativo é fácil de ser utilizado;Oferece um atendimento ao consumidor fácil de entrar em contato;9;A corridas aqui em S?o Paulo que n?o vale a pena fazer, fazemos para n?o deixar o cliente na m?o o custo baixo.
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;O aplicativo é fácil de ser utilizado;? seguro trabalhar com a 99;10;Muito  acessível o app
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;;;10;A 99 oferece melhor qualidade nos servi?os aos clientes e seguran?a ao ínformar as áreas de risco aos motoristas sendo assim trabalhar com a 99 nos deixa mais seguro pela sua honestidade.
Promoter;BR;SP;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece um atendimento ao consumidor fácil de entrar em contato;? fácil receber meus ganhos na minha conta;10;T? contente com vocês, vocês mostram o endere?o de embarque e desembarque, taxa boa, paga direitinho, tem bastante cliente. As promo??es s?o razoáveis, esse seria o único ponto de melhora...
