NPS Classification;Country;Region;Reason 1;Reason 2;Reason 3;NPS;Comentário
Detractor;BR;SP;Oferece um p??ssimo servi?o de atendimento, demora nas respostas e na solu??o;Os ganhos s?o poucos e inst??veis;;6;Melhorem os tipos de promo??o para motoristas... o Completa ?? rid??culo.
Detractor;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;As rotas de viagem s?o perigosas;;6;Quando coloco direcionado pra cada,a 99 me joga pra outro lado, exemplo: Brasil?ndia, onde l?? somos amea?ados por conta de um App criados por fa??es
Detractor;BR;SP;? perigoso trabalhar com a 99;N?o tem regras justas;As ferramentas de seguran?a n?o ajudam com uma viagem segura;3;
Neutral;BR;SP;N?o mostra o local de embarque e desembarque com precis?o;Oferece poucas informa??es do passageiro;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;7;
Neutral;BR;SP;Os ganhos s?o poucos e inst??veis;Muitos dos motoristas parceiros desistem da 99;As rotas de viagem s?o perigosas;8;
Neutral;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;Os ganhos s?o poucos e inst??veis;Oferece poucas informa??es do passageiro;8;A plataforma ?? boaaa deveria aumentar um pouco o valor cobrado das corridas recebemos muito pouco pelas corridas
Detractor;BR;SP;N?o mostra o local de embarque e desembarque com precis?o;Oferece um p??ssimo servi?o de atendimento, demora nas respostas e na solu??o;As ferramentas de seguran?a n?o ajudam com uma viagem segura;6;
Detractor;BR;SP;Oferece um p??ssimo servi?o de atendimento, demora nas respostas e na solu??o;N?o tem regras justas;N?o se importa com o motorista parceiro;4;Deveriam ser mais justos com os ganhos pois d?o a op??o de enviar quando o passageiro mal intencionado n?o paga no final da viagem e depois que envio n?o me retornaram e muito menos me pagaram o restante do valor que n?o recebi do passageiro safado
Detractor;BR;SP;Oferece poucas informa??es do passageiro;Os ganhos s?o poucos e inst??veis;N?o tem regras justas;6;Os valores pagos s?o muito baixos em rela??o ao custo que motorista tem, e as taxas de aceita??o e cancelamento s?o muito punitivas sendo que o aplicativo em muitas vezes n?o opera direito e fica enviando a mesma viagem que j?? foi recusada para o mesmo motorista e contando na taxa.
Detractor;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;;;5;
Neutral;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;Oferece poucas informa??es do passageiro;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;7;
Detractor;BR;SP;N?o tem regras justas;Oferece um p??ssimo servi?o de atendimento, dif??cil de entrar em contato;Oferece um p??ssimo servi?o de atendimento, demora nas respostas e na solu??o;1;O motorista nunca tem raz?o
Detractor;BR;SP;Oferece um p??ssimo servi?o de atendimento, dif??cil de entrar em contato;Os ganhos s?o poucos e inst??veis;Oferece um p??ssimo servi?o de atendimento, demora nas respostas e na solu??o;5;achei as taxas muito alta, h?? mais de um m??s s9licitei meu cart?o 99 e at?? hj n?o chegou,n?o encontro nenhuma forma de me comunicar ...
Detractor;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;Oferece poucas informa??es do passageiro;N?o se importa com o motorista parceiro;3;A localiza??o ?? imprecisa demais. Todos os passageiros entram j?? falando mal
Neutral;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;N?o mostra o local de embarque e desembarque com precis?o;;8;
Neutral;BR;SP;Oferece poucas informa??es do passageiro;Muitas corridas iniciam ou se encerram em ??reas de risco;;8;Para melhorar a seguran?a,  o ideal seria mostrar a foto do passageiro e antes de aceitar a corrida. Mostrar a forma de pagamento.\n Remunera??o de Deslocamento at?? o passageiro, pois muitas vezes aparece corridas para buscar o passageiro que est?? a mais de 3km de dist?ncia
Neutral;BR;SP;Oferece poucas informa??es do passageiro;;;8;
Detractor;BR;SP;N?o se importa com o motorista parceiro;Oferece poucas informa??es do passageiro;;5;Deveria pagar a taxa de embarque caso o passageiro cancele ou o motorista n?o ache ele no local citado
Neutral;BR;SP;Os ganhos s?o poucos e inst??veis;;;8;Taxa cancelamento quando cancelamos deveria ser colocada valores das corridas deveriam dar uma aumentada pois combustiveis e manutensao caras as vezes melhoraria ate msm atendimen
Detractor;BR;SP;Os ganhos s?o poucos e inst??veis;;;6;
Neutral;BR;SP;Oferece poucas informa??es do passageiro;Muitas corridas iniciam ou se encerram em ??reas de risco;As rotas de viagem s?o perigosas;8;
Neutral;BR;SP;As rotas de viagem s?o perigosas;N?o tem regras justas;Os ganhos s?o poucos e inst??veis;8;O cancelamento de viagens feito por usu??rios s?o frequentes e geralmente onera o parceiro.\nN?o consigo entender e ali??s nem sei se existe taxa de deslocamento para buscar passageiro em local distante e demorado para n?o transportar o passageiro ou lev??-lo viagem curta, neste caso gasta-se mais do que ganha.\nAs mensagens enviadas pelos usu??rios devem ser mostradas de forma mais eficientes e tamb??m deve-se facilitar a comunica??o do parceiro com o cliente.\nO app trava bastante usando a navega??o.
Detractor;BR;SP;Oferece poucas informa??es do passageiro;Oferece um p??ssimo servi?o de atendimento, dif??cil de entrar em contato;N?o se importa com o motorista parceiro;3;Voc??s deveriam valorizar mais os motoristas\nCom incentivos melhores \nE principalmente os valorizar por trabalharem 100% dedicados com notas excelentes
Detractor;BR;SP;Oferece poucas informa??es do passageiro;N?o se importa com o motorista parceiro;Os ganhos s?o poucos e inst??veis;2;A nova pol??tica de deslocamento para pegar um pax chega bos manda a mais de 2km sem a garantia de que faremos as corridas. Se o pax cancela, perdemos tempo e dinheiro. A 99 n?o se responsabiliza por viagens em dinheiro ou debito. Mas ?? a pr??pria 99 que indica a corrida, sendo co-respons??vel pelo pax que transportamos. Devia arcar com estas corridas e n?o apenas lamentar e tirar sua taxa.
Neutral;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;Oferece poucas informa??es do passageiro;Os ganhos s?o poucos e inst??veis;8;
Detractor;BR;SP;As rotas de viagem s?o perigosas;N?o se importa com o motorista parceiro;O aplicativo n?o ?? profissional;0;J?? fiz umas tr??s corridas e fiquei no preju??zo, o passageiro n?o pagou e voc??s n?o resolveram esse problema pra mim. Cada dia que passa ?? s?? des?nimo com a 99, mais enfim, procuro fazer o meu melhor sempre, pena que a 99 s?? faz os bons motoristas abandonar o aplicativo.
